"","E","N","group","country","long","lat"
"1",3638,2192,1,1,1.69967536457529,42.4943331883257
"2",3636,2192,1,1,1.67553438298452,42.4923428698175
"3",3628,2188,1,1,1.58403540893435,42.4484519851333
"4",3623,2187,1,1,1.52500920675834,42.4344295889084
"5",3619,2187,1,1,1.47678563746054,42.4303604068311
"6",3616,2188,1,1,1.43933918224246,42.4362595747915
"7",3615,2190,1,1,1.42471325771008,42.4531658363916
"8",3615,2194,1,1,1.41956652048107,42.4890279528589
"9",3615,2198,1,1,1.41441150253229,42.5248885298522
"10",3615,2200,1,1,1.4118308825699,42.542818241886
"11",3616,2205,1,1,1.41745601059216,42.5886692470368
"12",3619,2208,1,1,1.44985424765011,42.618640366786
"13",3623,2210,1,1,1.49566424789555,42.6406550580013
"14",3628,2208,1,1,1.55870069029664,42.6277970164121
"15",3640,2204,1,1,1.70887280835452,42.6039497909243
"16",3642,2200,1,1,1.73803473597417,42.5700555065734
"17",3642,2198,1,1,1.74051944677747,42.5521163332803
"18",3639,2195,1,1,1.70801158864106,42.5222349552568
"19",3638,2192,1,1,1.69967536457529,42.4943331883257
"20",5804,2477,1,2,28.5792135825625,43.7350095586562
"21",5808,2451,1,2,28.5530371969132,43.4997004132615
"22",5803,2437,1,2,28.4530638983727,43.3887731319869
"23",5791,2438,1,2,28.3114409650322,43.4238418839092
"24",5777,2431,1,2,28.1232881731686,43.3932537713538
"25",5773,2415,1,2,28.0308970045352,43.2622411707182
"26",5769,2410,1,2,27.9690888465462,43.2271833336887
"27",5766,2404,1,2,27.9166376830875,43.1812095588216
"28",5768,2386,1,2,27.8916016049666,43.0196848486352
"29",5774,2356,1,2,27.8821727259249,42.7447133091315
"30",5769,2351,1,2,27.8091450559533,42.7116493570763
"31",5764,2349,1,2,27.7442088626846,42.7047643710855
"32",5748,2318,1,2,27.4719847226623,42.4670920823783
"33",5762,2314,1,2,27.6277007098002,42.4027813997074
"34",5769,2309,1,2,27.6975326201569,42.3442875200073
"35",5782,2296,1,2,27.8170752254836,42.2030391634054
"36",5799,2282,1,2,27.9806327366251,42.0443489665218
"37",5803,2274,1,2,28.0065106878357,41.9658237637024
"38",5792,2273,1,2,27.8743622758975,41.9805737806641
"39",5788,2272,1,2,27.8246230476462,41.9803259257498
"40",5786,2268,1,2,27.7905766560908,41.9495632686132
